ID,not_present,present,NA_,prop_present,mean_n_links
utah,66,70,0,0.5147058823529411,0.7720588235294118
north dakota,78,85,0,0.5214723926380368,1.116564417177914
arkansas,134,152,0,0.5314685314685315,0.6853146853146853
south dakota,72,84,0,0.5384615384615384,0.7756410256410257
maine,71,89,0,0.55625,1.025
arizona,277,365,0,0.5685358255451713,0.9314641744548287
district of columbia,26,37,0,0.5873015873015873,0.8571428571428571
montana,79,113,0,0.5885416666666666,1.0260416666666667
michigan,223,415,0,0.6504702194357367,1.29153605015674
missouri,164,317,0,0.659043659043659,1.3014553014553014
wyoming,17,33,0,0.66,0.62
mississippi,30,64,0,0.6808510638297872,1.4787234042553192
north carolina,88,189,0,0.6823104693140795,1.3212996389891696
indiana,118,256,0,0.6844919786096256,1.4171122994652405
georgia,20,44,0,0.6875,1.5
iowa,99,220,0,0.6896551724137931,1.1974921630094044
alaska,31,69,0,0.69,1.99
ohio,277,623,0,0.6922222222222222,1.221111111111111
oklahoma,146,338,0,0.6983471074380165,1.024793388429752
kansas,78,186,0,0.7045454545454546,1.375
vermont,24,59,0,0.7108433734939759,1.9879518072289157
tennessee,32,79,0,0.7117117117117117,1.7477477477477477
connecticut,39,102,0,0.723404255319149,2.1134751773049647
oregon,54,146,0,0.73,1.655
new jersey,173,471,0,0.7313664596273292,1.9161490683229814
colorado,53,146,0,0.7336683417085427,1.7035175879396984
alabama,68,188,0,0.734375,1.58203125
california,110,316,0,0.7417840375586855,1.8145539906103287
florida,18,52,0,0.7428571428571429,1.7857142857142858
wisconsin,101,345,0,0.773542600896861,1.798206278026906
texas,241,877,0,0.7844364937388193,1.57871198568873
south carolina,17,62,0,0.7848101265822784,1.9620253164556962
new hampshire,6,22,0,0.7857142857142857,0.5357142857142857
minnesota,97,368,0,0.7913978494623656,1.6731182795698925
delaware,8,32,0,0.8,1.725
new mexico,1,4,0,0.8,1.2
washington,33,139,0,0.8081395348837209,1.8837209302325582
pennsylvania,133,563,0,0.8089080459770115,1.7658045977011494
new york,171,734,0,0.8110497237569061,1.9790055248618785
massachusetts,76,328,0,0.8118811881188119,2.141089108910891
virginia,23,114,0,0.8321167883211679,2.197080291970803
maryland,4,20,0,0.8333333333333334,2.5833333333333335
hawaii,0,1,0,1,3
