state,district_name,nces_id,corona,covid,n_links,links
Alabama,Bessemer City,0100330,FALSE,TRUE,1,"http://www.bessk12.org?DivisionID=24326, http://www.bessk12.org?DivisionID=24326"
Alabama,Bibb County,0100360,TRUE,FALSE,1,"http://www.bibbed.orghttp://www.bibbed.org/apps/pages/PublicNotice, http://www.bibbed.orghttp://www.bibbed.org/apps/pages/PublicNotice"
Alabama,Birmingham City,0100390,TRUE,TRUE,6,"http://www.bhamcityschools.org/domain/8828, http://www.bhamcityschools.org/domain/8828, http://www.bhamcityschools.orghttps://www.bhamcityschools.org/Page/38850, http://www.bhamcityschools.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=50334&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=39234&PageID=1, http://www.bhamcityschools.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=50334&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=39004&PageID=1, http://www.bhamcityschools.orghttps://www.bhamcityschools.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=28740&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=38913&PageID=1, http://www.bhamcityschools.org/domain/8828, http://www.bhamcityschools.org/domain/8828, http://www.bhamcityschools.orghttps://www.bhamcityschools.org/Page/38850, http://www.bhamcityschools.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=50334&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=39234&PageID=1, http://www.bhamcityschools.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=50334&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=39004&PageID=1, http://www.bhamcityschools.orghttps://www.bhamcityschools.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=28740&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=38913&PageID=1"
Alabama,Blount County,0100420,TRUE,TRUE,3,"http://www.blountboe.nethttps://www.cdc.gov/coronavirus/2019-ncov/travelers/index.html, http://www.blountboe.nethttps://www.cdc.gov/coronavirus/2019-ncov/php/risk-assessment.html, http://www.blountboe.nethttp://www.blountboe.net/cms/One.aspx?portalId=81182&pageId=25693327, http://www.blountboe.nethttps://www.cdc.gov/coronavirus/2019-ncov/travelers/index.html, http://www.blountboe.nethttps://www.cdc.gov/coronavirus/2019-ncov/php/risk-assessment.html, http://www.blountboe.nethttp://www.blountboe.net/cms/One.aspx?portalId=81182&pageId=25693327"
Alabama,Boaz City,0100012,FALSE,TRUE,1,"http://www.boazk12.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=1569&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6138&PageID=1, http://www.boazk12.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=1569&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6138&PageID=1"
Alabama,Butler County,0100510,TRUE,TRUE,4,"http://www.butlerco.k12.al.us/cms/lib/AL50000080/Centricity/ModuleInstance/15/McKenzie%20School%20COVID-19%20Notification%20Letter.pdf, http://www.butlerco.k12.al.ushttps://www.alsde.edu/COVID19%20Updates/CoronavirusFAQs.jpg, http://www.butlerco.k12.al.us../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=15&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3135&PageID=1, http://www.butlerco.k12.al.ushttps://www.alsde.edu/COVID19%20Updates/CoronavirusFAQs.jpg, http://www.butlerco.k12.al.us/cms/lib/AL50000080/Centricity/ModuleInstance/15/McKenzie%20School%20COVID-19%20Notification%20Letter.pdf, http://www.butlerco.k12.al.ushttps://www.alsde.edu/COVID19%20Updates/CoronavirusFAQs.jpg, http://www.butlerco.k12.al.us../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=15&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3135&PageID=1, http://www.butlerco.k12.al.ushttps://www.alsde.edu/COVID19%20Updates/CoronavirusFAQs.jpg"
Alabama,Cherokee County,0100630,TRUE,TRUE,1,"http://www.cherokeek12.orghttps://docs.google.com/document/d/1dQs3Ux-3MqgzMvIbSGxrjHcaeugmzCEhXVK25K_Vp5o/edit?usp=sharing, http://www.cherokeek12.orghttps://docs.google.com/document/d/1dQs3Ux-3MqgzMvIbSGxrjHcaeugmzCEhXVK25K_Vp5o/edit?usp=sharing"
Alabama,Chickasaw City,0100188,TRUE,TRUE,3,"http://www.chickasawschools.com//domain/1376, http://www.chickasawschools.com//domain/1376, http://www.chickasawschools.com/../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=371&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=2989&PageID=1, http://www.chickasawschools.com//domain/1376, http://www.chickasawschools.com//domain/1376, http://www.chickasawschools.com/../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=371&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=2989&PageID=1"
Alabama,Chilton County,0100660,FALSE,TRUE,1,"http://www.chilton.k12.al.ushttp://chiltoncs.schoolinsites.com/Download.asp?L=0&LMID=744031&PN=DocumentUploads&DivisionID=&DepartmentID=&SubDepartmentID=&SubP=&Act=Download&T=1&I=745952, http://www.chilton.k12.al.ushttp://chiltoncs.schoolinsites.com/Download.asp?L=0&LMID=744031&PN=DocumentUploads&DivisionID=&DepartmentID=&SubDepartmentID=&SubP=&Act=Download&T=1&I=745952"
Alabama,Clarke County,0100720,TRUE,TRUE,2,"http://www.clarkecountyschools.orghttps://www.alsde.edu/covid-19, http://www.clarkecountyschools.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=26&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5168&PageID=1, http://www.clarkecountyschools.orghttps://www.alsde.edu/covid-19, http://www.clarkecountyschools.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=26&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5168&PageID=1"
