district-name,state,nces-id,website-url
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,2601890,http://www.adams.k12.mi.us/
ADAMS-ARAP 28J AURORA,Colorado,0800255,NA
ADAMS-CHESHIRE,Massachusetts,2501780,http://www.acrsd.net
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,5500060,http://www.afasd.net
ADDISON CENTRAL SCHOOL DISTRICT,New York,3602370,http://www.addisoncsd.org
ADDISON CENTRAL SUPERVISORY UNION,Vermont,5099903,http://www.acsu.k12.vt.us/
ADDISON CENTRAL UNIFIED SCHOOL DISTRICT,VERMONT,5000402,http://www.acsu.k12.vt.us/
ADDISON COMMUNITY SCHOOLS,Michigan,2601920,http://addisonschools.org
ADDISON NORTHEAST SUPERVISORY UNION,Vermont,5099901,http://www.anesu.org/
ADDISON NORTHWEST SUPERVISORY UNION,Vermont,5099902,http://www.anwsu.org/
ADDISON NORTHWEST UNIFIED SCHOOL DISTRICT,VERMONT,5000398,http://www.anwsu.org/
ADDISON RUTLAND SUPERVISORY UNION,Vermont,5099904,http://www.arsu.org/
ADDISON SD 4,Illinois,1703150,NA
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,1903150,http://www.admschools.org
ADEL SD 21,Oregon,4100990,http://www.lakeesd.k12.or.us
ADELANTO ELEMENTARY,California,0601710,http://www.aesd.net
ADENA LOCAL,Ohio,3904949,http://www.adena.k12.oh.us/
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,3605040,http://www.adirondackcsd.org
ADLAI E STEVENSON HSD 125,Illinois,1732580,NA
ADMIRAL PEARY AVTS,Pennsylvania,4280120,http://www.admiralpeary.tec.pa.us
ADNA SCHOOL DISTRICT,Washington,5300060,http://www.adnaschools.org
ADRIAN ISD,Texas,4807500,http://www.adrianisd.net
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,2702730,http://www.isd511.net
ADRIAN R-III,Missouri,2902850,http://WWW.ADRIAN.K12.MO.US
ADRIAN SCHOOL DISTRICT OF THE CITY OF,Michigan,2601950,http://www.theadrianmaples.com
ADRIAN SD 61,Oregon,4101020,http://www.adrian.k12.or.us
ADVANCE R-IV,Missouri,2902880,http://www.advance.k12.mo.us
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,2500085,http://www.amsacs.org
ADVANCED TECHNOLOGY ACADEMY,Michigan,2600255,http://atafordpas.org
ADVANTAGE ACADEMY,Texas,4800041,http://www.advantageisd.com
ADVANTAGE ARTS ACADEMY,UTAH,4900198,NA
ADVANTAGE CHARTER ACADEMY,LOUISIANA,2200268,NA
AEA 11 HEARTLAND AEA,Iowa,1999011,http://www.heartlandaea.org
AEA 13 GREEN HILLS AEA,Iowa,1999013,http://www.ghaea.org
AFFTON 101,Missouri,2902910,http://AFFTONSCHOOLS.NET
AFSA HIGH SCHOOL,Minnesota,2700186,http://www.afsahighschool.com
AFTON,Oklahoma,4002520,http://www.aftonschools.net
AFTON CENTRAL SCHOOL DISTRICT,New York,3602400,http://www.aftoncsd.org
AGAMIM CLASSICAL ACADEMY,Minnesota,2700394,http://www.agamim.org
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,4600042,http://www.abo.k12.sd.us
AGATE SCHOOL DISTRICT NO. 300,Colorado,0801980,http://www.agateschools.net
AGAWAM,Massachusetts,2501800,http://www.agawamed.org
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,2600106,http://www.manoogian.org
AGORA CYBER CS,Pennsylvania,4200140,http://www.agoraeagles.org
AGRA,Oklahoma,4002550,http://www.agra.k12.ok.us/
AGUA DULCE ISD,Texas,4807530,http://www.adisd.esc2.net
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,0400450,http://www.aguafria.org
AGUILA ELEMENTARY DISTRICT,Arizona,0400480,NA
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,0802010,http://www.aguilarschools.org
AGWSR COMM SCHOOL DISTRICT,Iowa,1903060,http://www.agwsr.org
AHSTW COMM SCHOOL DISTRICT,Iowa,1904080,http://www.ahstwschools.org
AHWATUKEE FOOTHILLS PREP EARLY COLLEGE HIGH SCHOOL  INC.,Arizona,0400827,http://afprephigh.org
AIBT NON-PROFIT CHARTER HIGH SCHOOL  INC.,ARIZONA,0400970,NA
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX,Arizona,0400274,http://www.rcbhighschool.com
AIKEN 01,South Carolina,4500720,http://www.acpsd.net/
AINSWORTH COMMUNITY SCHOOLS,Nebraska,3102790,NA
AIRLINE CSD,Maine,2302500,http://www.airlineschool.org
AIRPORT COMMUNITY SCHOOLS,Michigan,2601980,http://www.airportschools.com
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,2702760,http://www.aitkin.k12.mn.us/
AJO UNIFIED DISTRICT,Arizona,0400520,NA
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,2200208,NA
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. 2,Arizona,0400404,http://www.bwcs.k12.az.us
AKIN CCSD 91,Illinois,1703210,NA
AKRON CENTRAL SCHOOL DISTRICT,New York,3602430,http://www.akronschools.org
AKRON CITY,Ohio,3904348,http://www.akronschools.com/
AKRON DIGITAL ACADEMY,Ohio,3900152,http://akrondigitalacademy.org/
AKRON PREPARATORY SCHOOL,Ohio,3901503,http://www.akronprep.org
AKRON SCHOOL DISTRICT NO. R-1,Colorado,0802040,http://akronrams.schoolwires.net/akronrams/site/default.asp
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,1903220,http://www.akron-westfield.com
AKRON-FAIRGROVE SCHOOLS,Michigan,2602010,http://akronfairgrove.org
AKROS MIDDLE SCHOOL,Ohio,3901428,http://www.akros4kids.org/joomla/index.php
AL INST DEAF AND BLIND,Alabama,0100009,http://www.aidb.org
ALABAMA CLINICAL SCHOOLS,Alabama,0100183,NA
ALABAMA SCHOOL OF FINE ARTS,Alabama,0100018,http://www.asfa.k12.al.us
ALABAMA YOUTH SERVICES,Alabama,0100002,http://www.dys.alabama.gov/school-district.html
ALABASTER CITY,Alabama,0100190,http://www.alabasterschools.org
ALACHUA,Florida,1200030,http://www.sbac.edu/pages/ACPS
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,3700030,http://www.abss.k12.nc.us
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,0601355,NA
ALAMEDA COUNTY OFFICE OF EDUCATION,California,0691051,http://www.acoe.org
ALAMEDA UNIFIED,California,0601770,http://www.alameda.k12.ca.us
ALAMO,Tennessee,4700030,http://www.alamoschool.org/
ALAMO HEIGHTS ISD,Texas,4807590,http://www.ahisd.net
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,3500030,NA
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,0802070,http://alamosa.k12.co.us
ALANSON PUBLIC SCHOOLS,Michigan,2621810,http://www.alansonvikings.net
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,0200050,http://www.agsd.us
ALBA PUBLIC SCHOOLS,Michigan,2602040,http://www.albaschool.org
ALBA-GOLDEN ISD,Texas,4807650,http://www.agisd.com
ALBANY CITY SCHOOL DISTRICT,New York,3602460,http://www.albanyschools.org
ALBANY CITY UNIFIED,California,0601860,http://www.ausdk12.org
ALBANY COMMUNITY CHARTER SCHOOL,New York,3600162,http://www.albanycommunitycs.org
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,5600730,http://www.acsd1.org
ALBANY ISD,Texas,4807680,http://www.albany.esc14.net
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,New York,3601006,http://www.albanyleadershiphigh.org
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,2702930,http://www.albany.k12.mn.us/
ALBANY R-III,Missouri,2902970,http://www.albany.k12.mo.us
ALBANY SCHOOL DISTRICT,New Hampshire,3301350,http://sau9.org/
ALBANY SCHOOL DISTRICT,Vermont,5001740,NA
